iter	Passed	Remaining
809	2073	486
810	2074	483
811	2075	480
812	2077	477
813	2081	475
814	2083	472
815	2085	470
816	2087	467
817	2088	464
818	2089	461
819	2090	458
820	2094	456
821	2096	453
822	2097	451
823	2099	448
824	2100	445
825	2101	442
826	2102	439
827	2103	437
828	2105	434
829	2109	432
830	2111	429
831	2113	426
832	2114	423
833	2116	421
834	2117	418
835	2118	415
836	2119	412
837	2122	410
838	2125	407
839	2126	405
840	2128	402
841	2129	399
842	2131	396
843	2132	394
844	2133	391
845	2134	388
846	2136	386
847	2139	383
848	2141	380
849	2142	378
850	2144	375
851	2145	372
852	2146	369
853	2147	367
854	2148	364
855	2149	361
856	2154	359
857	2157	357
858	2158	354
859	2159	351
860	2161	348
861	2162	346
862	2163	343
863	2164	340
864	2167	338
865	2170	335
866	2172	333
867	2174	330
868	2175	328
869	2177	325
870	2178	322
871	2180	320
872	2183	317
873	2185	315
874	2186	312
875	2187	309
876	2189	307
877	2190	304
878	2191	301
879	2192	299
880	2194	296
881	2198	294
882	2199	291
883	2201	288
884	2202	286
885	2203	283
886	2205	280
887	2206	278
888	2207	275
889	2209	273
890	2213	270
891	2215	268
892	2216	265
893	2218	262
894	2219	260
895	2220	257
896	2222	255
897	2223	252
898	2227	250
899	2229	247
900	2230	245
901	2232	242
902	2233	239
903	2235	237
904	2236	234
905	2237	232
906	2238	229
907	2242	227
908	2244	224
909	2246	222
910	2247	219
911	2248	216
912	2250	214
913	2251	211
914	2252	209
915	2254	206
916	2258	204
917	2260	201
918	2262	199
919	2263	196
920	2264	194
921	2266	191
922	2267	189
923	2268	186
924	2271	184
925	2273	181
926	2274	179
927	2276	176
928	2277	174
929	2278	171
930	2280	168
931	2281	166
932	2282	163
933	2286	161
934	2288	159
935	2289	156
936	2291	154
937	2292	151
938	2293	149
939	2294	146
940	2296	143
941	2297	141
942	2301	139
943	2303	136
944	2305	134
945	2306	131
946	2308	129
947	2309	126
948	2310	124
949	2311	121
950	2313	119
951	2316	116
952	2318	114
953	2319	111
954	2321	109
955	2322	106
956	2323	104
957	2325	101
958	2326	99
959	2327	96
960	2330	94
961	2332	92
962	2333	89
963	2334	87
964	2336	84
965	2337	82
966	2338	79
967	2339	77
968	2340	74
969	2344	72
970	2346	70
971	2347	67
972	2349	65
973	2350	62
974	2351	60
975	2352	57
976	2354	55
977	2358	53
978	2360	50
979	2362	48
980	2364	45
981	2365	43
982	2366	40
983	2367	38
984	2369	36
985	2373	33
986	2375	31
987	2376	28
988	2378	26
989	2379	24
990	2380	21
991	2381	19
992	2383	16
993	2384	14
994	2387	11
995	2390	9
996	2391	7
997	2392	4
998	2394	2
999	2395	0
